221,FUZZY-REQUIREMENTS::TER6-1-attrib
222,FUZZY-REQUIREMENTS::TER6-2-attrib
223,FUZZY-REQUIREMENTS::TER7-1-attrib
224,FUZZY-REQUIREMENTS::TER8-1-attrib
225,FUZZY-REQUIREMENTS::TER9-1-attrib
226,FUZZY::numerical-to-fuzzy-Accuracy2
227,FUZZY::numerical-to-fuzzy-Horizontal-Spatial-Resolution
228,FUZZY::numerical-to-fuzzy-Horizontal-Spatial-Resolution-Along-track
229,FUZZY::numerical-to-fuzzy-Horizontal-Spatial-Resolution-Cross-track
230,FUZZY::numerical-to-fuzzy-Horizontal-Spatial-Resolution2
231,FUZZY::numerical-to-fuzzy-Swath
232,FUZZY::numerical-to-fuzzy-Temporal-resolution
233,FUZZY::numerical-to-fuzzy-Vertical-Spatial-Resolution
234,LV-SELECTION0::assert-all-possible-lvs
235,LV-SELECTION1::remove-nils
236,LV-SELECTION2::compute-launch-cost
237,LV-SELECTION2::compute-number-of-launches
238,LV-SELECTION3::eliminate-more-expensive-launch-options
239,MANIFEST0::assert-manifested-instruments
240,MANIFEST::ACE_CPR-init-can-measure
241,MANIFEST::ACE_LID-init-can-measure
242,MANIFEST::ACE_ORCA-init-can-measure
243,MANIFEST::ACE_POL-init-can-measure
244,MANIFEST::CLAR_ERB-init-can-measure
245,MANIFEST::CNES_KaRIN-init-can-measure
246,MANIFEST::DESD_LID-init-can-measure
247,MANIFEST::DESD_SAR-init-can-measure
248,MANIFEST::GACM_SWIR-init-can-measure
249,MANIFEST::GACM_VIS-init-can-measure
250,MANIFEST::HYSP_TIR-init-can-measure
251,MANIFEST::POSTEPS_IRS-init-can-measure
252,MANIFEST::adjust-power-with-orbit
253,MANIFEST::calculate-orbit-period
254,MANIFEST::calculate-orbit-semimajor-axis-sat
255,MANIFEST::calculate-satellite-payload-dimensions
256,MANIFEST::compute-SAR-spatial-resolution
257,MANIFEST::compute-altimeter-horizontal-spatial-resolution
258,MANIFEST::compute-cloud-radar-properties-horizontal-spatial-resolution
259,MANIFEST::compute-cloud-radar-properties-swath
260,MANIFEST::compute-cloud-radar-properties-vertical-spatial-resolution
261,MANIFEST::compute-for-from-fov-square
262,MANIFEST::compute-fov-from-angular-res-and-npixels-azimuth
263,MANIFEST::compute-fov-from-angular-res-and-npixels-elevation
264,MANIFEST::compute-fov-from-angular-res-and-npixels-square
265,MANIFEST::compute-hsr-along-track-from-instrument-and-orbit
266,MANIFEST::compute-hsr-cross-track-from-instrument-and-orbit
267,MANIFEST::compute-hsr-from-instrument-and-orbit
268,MANIFEST::compute-revisit-time
269,MANIFEST::compute-sensitivity-to-soil-moisture-in-vegetation
270,MANIFEST::compute-spatial-resolution-and-swath-nadir-looking-no-scanning-imagers
271,MANIFEST::compute-spatial-resolution-and-swath-side-looking-conical-scanning-imagers
272,MANIFEST::compute-spatial-resolution-nadir-and-swath-looking-cross-track-scanning-imagers
273,MANIFEST::estimate-fraction-of-sunlight
274,MANIFEST::estimate-sun-angle
275,MANIFEST::fill-in-hsr-from-directional-hsrs
276,MANIFEST::get-Isp-ADCS
277,MANIFEST::get-Isp-injection
278,MANIFEST::get-instrument-revisit-times-from-database
279,MANIFEST::get-instrument-spectral-bands-from-database
280,MANIFEST::inherit-Instrument-ADCS-requirements-TO-Manifested-instrument
281,MANIFEST::inherit-Instrument-Accuracy#-TO-Manifested-instrument
282,MANIFEST::inherit-Instrument-Accuracy-TO-Manifested-instrument
283,MANIFEST::inherit-Instrument-Accuracy2-TO-Manifested-instrument
284,MANIFEST::inherit-Instrument-All-weather-TO-Manifested-instrument
285,MANIFEST::inherit-Instrument-Angular-resolution#-TO-Manifested-instrument
286,MANIFEST::inherit-Instrument-Angular-resolution-azimuth#-TO-Manifested-instrument
287,MANIFEST::inherit-Instrument-Angular-resolution-elevation#-TO-Manifested-instrument
288,MANIFEST::inherit-Instrument-Aperture#-TO-Manifested-instrument
289,MANIFEST::inherit-Instrument-Aperture-azimuth#-TO-Manifested-instrument
290,MANIFEST::inherit-Instrument-Concept-TO-Manifested-instrument
291,MANIFEST::inherit-Instrument-Day-Night-TO-Manifested-instrument
292,MANIFEST::inherit-Instrument-Doppler-TO-Manifested-instrument
293,MANIFEST::inherit-Instrument-Field-of-regard#-TO-Manifested-instrument
294,MANIFEST::inherit-Instrument-Field-of-view#-TO-Manifested-instrument
295,MANIFEST::inherit-Instrument-Field-of-view-azimuth#-TO-Manifested-instrument
296,MANIFEST::inherit-Instrument-Field-of-view-elevation#-TO-Manifested-instrument
297,MANIFEST::inherit-Instrument-Geometry-TO-Manifested-instrument
298,MANIFEST::inherit-Instrument-High-lat-sensitivity-TO-Manifested-instrument
299,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution#-TO-Manifested-instrument
300,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution-Along-track#-TO-Manifested-instrument
301,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution-Along-track-TO-Manifested-instrument
302,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution-Cross-track#-TO-Manifested-instrument
303,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution-Cross-track-TO-Manifested-instrument
304,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution-TO-Manifested-instrument
305,MANIFEST::inherit-Instrument-Horizontal-Spatial-Resolution2-TO-Manifested-instrument
306,MANIFEST::inherit-Instrument-Illumination-TO-Manifested-instrument
307,MANIFEST::inherit-Instrument-Imaging-TO-Manifested-instrument
308,MANIFEST::inherit-Instrument-Intent-TO-Manifested-instrument
309,MANIFEST::inherit-Instrument-Interferometry-TO-Manifested-instrument
310,MANIFEST::inherit-Instrument-On-board-calibration-TO-Manifested-instrument
311,MANIFEST::inherit-Instrument-Penetration-TO-Manifested-instrument
312,MANIFEST::inherit-Instrument-Pointing-capability-TO-Manifested-instrument
313,MANIFEST::inherit-Instrument-Pointing-requirements-TO-Manifested-instrument
314,MANIFEST::inherit-Instrument-Polarimetry-TO-Manifested-instrument
315,MANIFEST::inherit-Instrument-Priority-TO-Manifested-instrument
316,MANIFEST::inherit-Instrument-Pulse-repetition-frequency#-TO-Manifested-instrument
317,MANIFEST::inherit-Instrument-Radiometric-accuracy#-TO-Manifested-instrument
318,MANIFEST::inherit-Instrument-Radiometric-accuracy-TO-Manifested-instrument
319,MANIFEST::inherit-Instrument-Spectral-region-TO-Manifested-instrument
320,MANIFEST::inherit-Instrument-Spectral-resolution#-TO-Manifested-instrument
321,MANIFEST::inherit-Instrument-Spectral-resolution-TO-Manifested-instrument
322,MANIFEST::inherit-Instrument-Spectral-sampling-TO-Manifested-instrument
323,MANIFEST::inherit-Instrument-Swath#-TO-Manifested-instrument
324,MANIFEST::inherit-Instrument-Swath-TO-Manifested-instrument
325,MANIFEST::inherit-Instrument-Swath2-TO-Manifested-instrument
326,MANIFEST::inherit-Instrument-Technology-Readiness-Level-TO-Manifested-instrument
327,MANIFEST::inherit-Instrument-Temporal-resolution#-TO-Manifested-instrument
328,MANIFEST::inherit-Instrument-Temporal-resolution-TO-Manifested-instrument
329,MANIFEST::inherit-Instrument-Thermal-control-TO-Manifested-instrument
330,MANIFEST::inherit-Instrument-ThreeD-TO-Manifested-instrument
331,MANIFEST::inherit-Instrument-Vertical-Spatial-Resolution#-TO-Manifested-instrument
332,MANIFEST::inherit-Instrument-Vertical-Spatial-Resolution-TO-Manifested-instrument
333,MANIFEST::inherit-Instrument-average-data-rate#-TO-Manifested-instrument
334,MANIFEST::inherit-Instrument-average-power#-TO-Manifested-instrument
335,MANIFEST::inherit-Instrument-band-TO-Manifested-instrument
336,MANIFEST::inherit-Instrument-bandwidth#-TO-Manifested-instrument
337,MANIFEST::inherit-Instrument-characteristic-orbit-TO-Manifested-instrument
338,MANIFEST::inherit-Instrument-characteristic-power#-TO-Manifested-instrument
339,MANIFEST::inherit-Instrument-cost#-TO-Manifested-instrument
340,MANIFEST::inherit-Instrument-developed-by-TO-Manifested-instrument
341,MANIFEST::inherit-Instrument-dimension-x#-TO-Manifested-instrument
342,MANIFEST::inherit-Instrument-dimension-y#-TO-Manifested-instrument
343,MANIFEST::inherit-Instrument-dimension-z#-TO-Manifested-instrument
